,name,productUrl,originalPrice,price,discount,ratingScore,review,inStock,location,image,Seller Name,Brand Name,Seller Id,Item Id
1156,Bridal Chiffon Embroidery Suit,www.daraz.pk/products/bridal-chiffon-embroidery-suit-i130494095-s1290359078.html?search=1,4999,3250,-35%,4.66667,15,TRUE,Pakistan,https://static-01.daraz.pk/p/30025faf5632410e68eabc63e0919f12.jpg,Spotshop.pk,Spotshop Pk,1025124,130494095
235,Skin Ready to Wear With Nakab & Attach Cap,www.daraz.pk/products/skin-ready-to-wear-with-nakab-attach-cap-i130434533-s1290307339.html?search=1,2200,900,-59%,4.28571,14,TRUE,Pakistan,https://static-01.daraz.pk/p/1888152ba6dc778fe990e88ccc27585f.jpg,Master Collection's,Scarfs,1049514,130434533
1555,Daraz Select Women Unstitched Printed Lawn Suit,www.daraz.pk/products/daraz-select-women-unstitched-printed-lawn-suit-i124050948-s1281502068.html?search=1,1999,999,-50%,4.625,16,TRUE,Pakistan,https://static-01.daraz.pk/p/mdc/1b53aa560308bff120d937f54967b3a6.jpg,Daraz Retail Seller,Daraz Select,1000000,124050948
10,Women Stylish Pearl Beads Kurti Pajama Suit,www.daraz.pk/products/women-stylish-pearl-beads-kurti-pajama-suit-i146548225-s1309410702.html?search=1,1700,1399,-18%,4.61538,13,TRUE,Pakistan,https://static-01.daraz.pk/p/mdc/7f7675ef1b1be853d2a8aa0ffebb3139.png,Arsalan Aleem (Karachi),IDOL Fashion,1621,146548225
957,Stylish Plain Top Shirt And Printed Trouser For Ladies,www.daraz.pk/products/stylish-plain-top-shirt-and-printed-trouser-for-ladies-i142858832-s1303532869.html?search=1,1400,999,-29%,3.9,10,TRUE,Pakistan,https://static-01.daraz.pk/p/3132842c09dc49adba63284f15b11d3e.jpg,Dayz (Karachi),Lollipop,4609,142858832
118,Daraz Select Mid Summer Cotton Collection 2 PCS Printed Suit For Women (Unstitched),www.daraz.pk/products/daraz-select-mid-summer-cotton-collection-2-pcs-printed-suit-for-women-unstitched-i124948799-s1282864269.html?search=1,1249,799,-36%,4.5,10,TRUE,Pakistan,https://static-01.daraz.pk/p/c59055c16cfa6bf400c39e09d5d1ce19.jpg,Daraz Retail Seller,Daraz Warehouse,1000000,124948799
1158,Daraz Select Mid Summer Cotton Collection 2 PCS Printed Suit For Women (Unstitched),www.daraz.pk/products/daraz-select-mid-summer-cotton-collection-2-pcs-printed-suit-for-women-unstitched-i125092703-s1283034209.html?search=1,1249,799,-36%,4.4,10,TRUE,Pakistan,https://static-01.daraz.pk/p/59977caf3f9a794aadf4b64792c9fab0.jpg,Daraz Retail Seller,Daraz Select,1000000,125092703
396,NET LONG MAXI FROCK,www.daraz.pk/products/net-long-maxi-frock-i144776769-s1306428327.html?search=1,1199,990,-17%,4.76923,13,TRUE,Pakistan,https://static-01.daraz.pk/p/41ea5c72c819b3ce862f34d6519575bd.jpg,Nafay Garment,NAFAY GARMENT,1038299,144776769
73,Bra & Panty Sexy Biknii,www.daraz.pk/products/bra-panty-biknii-set-i129770736-s1289562079.html?search=1,999,349,-65%,4.47059,17,TRUE,Pakistan,https://static-01.daraz.pk/p/7063f9e34942b50a6a70b82f540f073f.jpg,BSM DISTRIBUTOR,BSM DISTRIBUTORS,1057017,129770736
395,NET FANCY MAXI FROCK,www.daraz.pk/products/net-silk-maxi-frock-i130606978-s1290463108.html?search=1,999,799,-20%,4.35294,17,TRUE,Pakistan,https://static-01.daraz.pk/p/5e0ecf3f95b67f01a517f65a30ea31f3.jpg,Star Garnet (Karachi),star garnet,10554,130606978
1077,Black 3D Layer Cap for Hijab,www.daraz.pk/products/3d-layer-cap-for-hijab-i136686592-s1296930400.html?search=1,700,215,-69%,4.27273,11,TRUE,Pakistan,https://static-01.daraz.pk/p/489e381934c7ba149f9c5c57cc39419d.jpg,Haider Cloth House,Hijab Inn,1144608,136686592
199,Hot Shapers Belt for Body Slimming - For Men and Women,www.daraz.pk/products/hot-shapers-belt-for-body-slimming-for-men-and-women-i131973317-s1292190796.html?search=1,699,149,-79%,3.09091,33,TRUE,Pakistan,https://static-01.daraz.pk/p/f664a6f5a986c90578f3df9fe81a44e0.jpg,Snoozy Deals,Snoozy Deals,1102430,131973317
279,Daraz Select Women Unstitched Printed Lawn Shirt,www.daraz.pk/products/daraz-select-women-unstitched-printed-lawn-shirt-i124720090-s1282574029.html?search=1,600,399,-34%,4.53846,13,TRUE,Pakistan,https://static-01.daraz.pk/p/b0164777e7d042e7a5de99bc589f35aa.jpg,Daraz Retail Seller,Daraz Select,1000000,124720090
119,Cotton Blended Bras for Women Smooth and Stretchable Fabric,www.daraz.pk/products/cotton-blended-bras-for-women-smooth-and-stretchable-fabric-i134812763-s1295126280.html?search=1,549,449,-18%,4.56,25,TRUE,Pakistan,https://static-01.daraz.pk/p/025379dc66228bcd15821628798f9672.jpg,Mughal Shopping Mall,Cosmetics and Nalki Button Center,1149926,134812763
199,Air Bra With Soft Pad For Women -Free size - Adjustable -All colors.,www.daraz.pk/products/air-bra-with-soft-pad-for-women-free-size-adjustable-all-colors-i142708089-s1304094071.html?search=1,500,160,-68%,4.28,25,TRUE,Pakistan,https://static-01.daraz.pk/p/81eb2a330fb86f8d130be95333a5fbc0.jpg,BHS international,BHSC,1031010,142708089
1438,Hair Colour Spray 8 Different Colours Damage Proof,www.daraz.pk/products/hair-colour-spray-8-different-colours-damage-proof-i133321083-s1293761250.html?search=1,499,245,-51%,4.9,10,TRUE,Pakistan,https://static-01.daraz.pk/p/080c8332b8d91065b21da44fcb1f15bb.jpg,Amna Collection,Essano,1034994,133321083
358,3 Buttons Front Open Maternity Bra with Floral Design - Brazzers,www.daraz.pk/products/3-buttons-front-open-maternity-bra-with-floral-design-brazzers-i134297943-s1309214801.html?search=1,450,350,-22%,3.7,10,TRUE,Pakistan,https://static-01.daraz.pk/p/93912aaf023660643145b5d6241f90b3.jpg,Shaheen Collections Pakistan,Shahe Fashions PK,1144267,134297943
116,Multicolor Muffler Scarf For Boys And Girls,www.daraz.pk/products/multicolor-muffler-scarf-for-boys-and-girls-i130083799-s1289908013.html?search=1,444,99,-78%,3.45455,11,TRUE,Pakistan,https://static-01.daraz.pk/p/571bceae63fb03ddc04cfd95a295d8bd.jpg,My shop (Islamabad),My shop,15400,130083799
1318,Hair Pins Butterfly Brooch Barrettes Clips - 6 Pcs Pack,www.daraz.pk/products/brooch-hair-pins-butterfly-barrettes-clips-6-pcs-pack-i134484946-s1294894404.html?search=1,160,155,-3%,4.25,12,TRUE,Pakistan,https://static-01.daraz.pk/p/06a80656803a9f8ffd2cc8ebb78c47d4.jpg,PakGifting.com,PakGifting.com,1022622,134484946
476,Maternity Bra 100% Cotton/ Stage Wireless Nursing Bra Front Opening Buckle Full Cup Breast Feeding Bra/Best Selling Bra/Best Product,www.daraz.pk/products/maternity-bra-100-cotton-stage-wireless-nursing-bra-front-opening-buckle-full-cup-breast-feeding-brabest-selling-brabest-product-i136432197-s1296682720.html?search=1,,349,,4.42308,26,TRUE,Pakistan,https://static-01.daraz.pk/p/8b65e6378516f5c82345828e773407ae.jpg,AT Fashions (Rawalpindi),AT Fashions,2494,136432197
